cat,value,label,next_stream,stream,strahler,topo,distance,elev_ft,area_10m2,wetland,longitude,latitude
3268,97,,99,97,4,2,11137.6872171049,4974.269,326407,1,-121.911873919237,43.2883707689371
3269,27,,66,27,1,14,22313.6082003419,6073.395,631,,-121.998978934432,43.2871526358005
3270,29,,81,29,1,11,22053.1918864051,5894.73,2016,,-121.99552920983,43.2871985980134
3271,77,,84,77,2,8,19153.4147393782,5129.24,7660,,-121.976186013693,43.2874543532987
3272,84,,91,84,3,7,18867.8512383791,5101.894,74378,1,-121.973845106186,43.2874850787537
3273,84,,91,84,3,7,18839.5669662266,5100.498,74799,1,-121.97359869473,43.2874883101759
3274,84,,91,84,3,7,18829.5669659065,5099.906,74800,1,-121.973475488992,43.2874899256844
3275,84,,91,84,3,7,18819.5669655865,5098.657,74801,1,-121.973352283247,43.2874915410578
3276,92,,94,92,3,5,13905.4542586398,5004.851,97783,,-121.932694028408,43.2880172378352
3277,96,,97,96,4,3,12043.372671036,4978.677,291574,,-121.919633954048,43.2881829769472
3278,96,,97,96,4,3,11735.3827624481,4977.302,294358,1,-121.917046572278,43.2882156319439
3279,96,,97,96,4,3,11725.3827621281,4977.167,294362,1,-121.916923363552,43.288217185458
3280,96,,97,96,4,3,11598.8142155831,4976.711,294890,1,-121.916060902291,43.2882280562749
3281,96,,97,96,4,3,11560.5299431104,4976.605,294916,1,-121.915691275941,43.2882327131705
3282,96,,97,96,4,3,11550.5299427905,4976.605,294919,1,-121.915568067145,43.2882342651988
3283,96,,97,96,4,3,11540.5299424705,4976.605,294921,1,-121.915444858343,43.2882358170922
3284,96,,97,96,4,3,11421.5349892966,4976.161,296658,1,-121.914459187693,43.2882482273763
3285,96,,97,96,4,3,11354.9664446714,4975.909,315812,1,-121.91384314333,43.2882559794142
3286,61,,97,61,2,3,11340.8243085951,4974.983,9359,1,-121.91359672554,43.2882590792839
3287,97,,99,97,4,2,11171.8293538211,4974.661,326232,1,-121.912241427241,43.28827611891
3288,97,,99,97,4,2,11161.8293535012,4974.661,326385,1,-121.912118218266,43.2882776671565
3289,97,,99,97,4,2,11151.8293531812,4974.661,326393,1,-121.911995009285,43.2882792152679
3290,27,,66,27,1,14,22327.7503364182,6082.032,630,,-121.999099888993,43.2870609883498
3291,29,,81,29,1,11,22067.3340224813,5909.454,2013,,-121.995650169755,43.2871069542749
3292,77,,84,77,2,8,19167.5568754545,5129.529,6891,,-121.976307003686,43.2873627303782
3293,92,,94,92,3,5,13919.596394716,5006.527,97768,,-121.932568670512,43.2879288032066
3294,96,,97,96,4,3,12029.2305349597,4978.677,291584,1,-121.919755031871,43.2880914149198
3295,96,,97,96,4,3,11749.5248985244,4977.624,294354,1,-121.917167654117,43.2881240727036
3296,96,,97,96,4,3,11711.2406260519,4977.167,294364,1,-121.916798028493,43.2881287332389
3297,96,,97,96,4,3,11701.2406257319,4977.167,294367,1,-121.91667481994,43.2881302864805
3298,96,,97,96,4,3,11608.8142159031,4976.717,294888,1,-121.916058777074,43.2881380506627
3299,96,,97,96,4,3,11526.3878063942,4976.605,294935,1,-121.915319525426,43.2881473632241
3300,96,,97,96,4,3,11469.8192620891,4976.161,294960,1,-121.914826690866,43.288153568897
